ChainID,ChainName,URN,JoinedDate,TrustID,TrustName
SP00181,DIOCESE OF PETERBOROUGH,144430,01/03/2018,TR02653,PETERBOROUGH DIOCESE EDUCATION TRUST
SP00580,NOVA EDUCATION TRUST,144431,01/10/2017,TR02306,NOVA EDUCATION TRUST
SP00103,RIVER LEARNING TRUST,144432,01/05/2017,TR00467,RIVER LEARNING TRUST
SP00103,RIVER LEARNING TRUST,144433,01/05/2017,TR00467,RIVER LEARNING TRUST
TR03666,SEVERN BRIDGES MULTI ACADEMY TRUST,144434,01/05/2017,TR03666,SEVERN BRIDGES MULTI ACADEMY TRUST
SP01953,THE BISHOP ANTHONY EDUCATIONAL TRUST,144435,01/04/2017,TR00210,THE BISHOP ANTHONY EDUCATIONAL TRUST
SP00967,CLEVEDON LEARNING TRUST,144436,01/09/2017,TR00523,CLEVEDON LEARNING TRUST
SP00967,CLEVEDON LEARNING TRUST,144437,01/08/2017,TR00523,CLEVEDON LEARNING TRUST
SP01362,THE SHAW EDUCATION TRUST,144439,01/06/2017,TR02713,THE SHAW EDUCATION TRUST
SP01668,THE LEARNING VILLAGE ACADEMY TRUST,144441,01/09/2017,TR03344,THE LEARNING VILLAGE ACADEMY TRUST
SP01899,ASSET EDUCATION,144442,01/05/2017,TR03106,ASSET EDUCATION
SP01899,ASSET EDUCATION,144443,01/05/2017,TR03106,ASSET EDUCATION
SP01899,ASSET EDUCATION,144444,01/05/2017,TR03106,ASSET EDUCATION
SP01899,ASSET EDUCATION,144445,01/05/2017,TR03106,ASSET EDUCATION
SP01899,ASSET EDUCATION,144446,01/05/2017,TR03106,ASSET EDUCATION
SP00307,THE LAIDLAW SCHOOLS TRUST,144447,01/07/2017,TR01268,THE LAIDLAW SCHOOLS TRUST
SP00151,CATALYST ACADEMIES TRUST,144448,01/06/2017,TR00414,CATALYST ACADEMIES TRUST
SP01416,INSPIRE PARTNERSHIP MULTI ACADEMY TRUST,144449,01/05/2017,TR00843,INSPIRE PARTNERSHIP MULTI ACADEMY TRUST
SP00622,SUSSEX LEARNING TRUST,144453,01/05/2017,TR02392,SUSSEX LEARNING TRUST
SP00226,EXCALIBUR ACADEMIES TRUST,144454,01/09/2017,TR00761,EXCALIBUR ACADEMIES TRUST
TR00416,FRASSATI CATHOLIC ACADEMY TRUST,144455,01/07/2017,TR00416,FRASSATI CATHOLIC ACADEMY TRUST
SP00781,THE DIOCESE OF WORCESTER MULTI ACADEMY TRUST,144456,01/02/2018,TR03658,THE DIOCESE OF WORCESTER MULTI ACADEMY TRUST
TR01639,AVONREACH ACADEMY TRUST,144457,01/08/2017,TR01639,AVONREACH ACADEMY TRUST
SP00190,DIOCESE OF ST ALBANS,144458,01/08/2017,TR03616,DIOCESE OF ST ALBANS MULTI-ACADEMY TRUST
SP01561,PRESTOLEE COMMUNITY PRIMARY SCHOOL,144459,01/09/2017,TR03097,PRESTOLEE MULTI ACADEMY TRUST
SP01972,ST CHAD'S ACADEMIES TRUST,144460,01/04/2017,TR02027,ST CHAD'S ACADEMIES TRUST
SP00770,TRANSFORM TRUST,144461,01/06/2017,TR01946,TRANSFORM TRUST
SP00770,TRANSFORM TRUST,144462,01/06/2017,TR01946,TRANSFORM TRUST
SP00865,ALTUS EDUCATION PARTNERSHIP,144463,01/04/2017,TR03703,ALTUS EDUCATION PARTNERSHIP
